0	19	24	19	18	
1	11	16	15	15	
2	20	14	19	25	
3	13	20	9	26	
4	7	13	2	19	
5	51	20	10	23	
6	6	30	12	32	
7	3	24	21	24	
8	46	18	12	32	
9	39	13	16	42	
10	43	21	24	46	
11	45	22	29	42	
12	48	16	27	48	
13	40	15	17	38	
14	50	24	12	45	
15	1	29	17	2	
16	45	37	9	47	
17	49	31	16	2	
18	45	34	23	6	
19	51	30	16	49	
20	6	28	25	41	
21	3	33	35	36	
22	7	32	28	28	
23	5	35	25	29	
24	50	25	34	23	
25	51	35	24	20	
26	48	39	18	30	
27	46	34	21	32	
28	38	36	30	38	
29	46	45	29	37	
30	42	46	24	44	
31	39	47	17	39	
32	43	37	21	38	
33	44	29	22	34	
34	41	33	27	38	
35	39	37	34	41	
36	35	39	27	49	
37	37	30	23	5	
38	44	27	33	47	
39	43	36	24	40	
40	46	45	25	32	
41	47	40	16	22	
42	46	34	8	24	
43	41	29	6	18	
44	32	33	47	17	
45	39	38	40	27	
46	45	30	49	26	
47	36	37	44	22	
48	42	39	35	28	
49	34	38	30	29	
